FileType	fastq	Read submission file type										
sample	study	instrument_model	library_name	library_source	library_selection	library_strategy	forward_file_name	forward_file_md5	reverse_file_name	reverse_file_md5	library_construction_protocol
ERS28440924	PRJEB106128	Illumina HiSeq 2500	12F-HR_9_20_18_S72_L003	METAGENOMIC	RANDOM	WGS	12F-HR_9_20_18_S72_L003_R1_001.fastq.gz	842579d4a1d2f21f5950c5646151b304	12F-HR_9_20_18_S72_L003_R2_001.fastq.gz	0574a10acc63c91fc76fe8e84bd0a3e6	Shotgun metagenomic library preparation
ERS28440925	PRJEB106128	Illumina HiSeq 2500	12M-HL_10_18_18_S145_L004	METAGENOMIC	RANDOM	WGS	12M-HL_10_18_18_S145_L004_R1_001.fastq.gz	a33b60fd267b83ee2293deeb4caa4dd8	12M-HL_10_18_18_S145_L004_R2_001.fastq.gz	c8864ea402ddd5405c9976f84d374f9f	Shotgun metagenomic library preparation
ERS28440926	PRJEB106128	Illumina HiSeq 2500	12M-HL_1_9_19_S186_L004	METAGENOMIC	RANDOM	WGS	12M-HL_1_9_19_S186_L004_R1_001.fastq.gz	dd467dcd070a429fc24aaf98e795ea00	12M-HL_1_9_19_S186_L004_R2_001.fastq.gz	9dfd2c77830d3600ec4695636c461b13	Shotgun metagenomic library preparation
ERS28440927	PRJEB106128	Illumina HiSeq 2500	12M-HL_2_27_19_S270_L005	METAGENOMIC	RANDOM	WGS	12M-HL_2_27_19_S270_L005_R1_001.fastq.gz	834c160a818e1078257ab9672c55a3ab	12M-HL_2_27_19_S270_L005_R2_001.fastq.gz	3e286c0b79b0452826fa3a2e22502c4d	Shotgun metagenomic library preparation
ERS28440928	PRJEB106128	Illumina HiSeq 2500	12M-HL_9_20_18_S69_L003	METAGENOMIC	RANDOM	WGS	12M-HL_9_20_18_S69_L003_R1_001.fastq.gz	7977d43b6296cf199353967d013232bd	12M-HL_9_20_18_S69_L003_R2_001.fastq.gz	14381915a5435b33de8a6bc432f1d1f5	Shotgun metagenomic library preparation
ERS28440929	PRJEB106128	Illumina HiSeq 2500	12M-HR_10_18_18_S144_L004	METAGENOMIC	RANDOM	WGS	12M-HR_10_18_18_S144_L004_R1_001.fastq.gz	9b58998e7f43b12336d989da628e7d63	12M-HR_10_18_18_S144_L004_R2_001.fastq.gz	d6b993935bf9d058dded83361219eacd	Shotgun metagenomic library preparation
ERS28440930	PRJEB106128	Illumina HiSeq 2500	12M-HR_1_9_19_S187_L004	METAGENOMIC	RANDOM	WGS	12M-HR_1_9_19_S187_L004_R1_001.fastq.gz	c6a20cab0ac5a096f2cc3d3f744c3aaa	12M-HR_1_9_19_S187_L004_R2_001.fastq.gz	72e18ec03747ee6847f7d7f0e086f7fb	Shotgun metagenomic library preparation
ERS28440931	PRJEB106128	Illumina HiSeq 2500	12M-HR_2_27_19_S269_L005	METAGENOMIC	RANDOM	WGS	12M-HR_2_27_19_S269_L005_R1_001.fastq.gz	67ffccc4a9672a22e9d8783c52b75c72	12M-HR_2_27_19_S269_L005_R2_001.fastq.gz	172e37a12176173d35eec2287c3d274d	Shotgun metagenomic library preparation
ERS28440932	PRJEB106128	Illumina HiSeq 2500	12M-HR_9_20_18_S70_L003	METAGENOMIC	RANDOM	WGS	12M-HR_9_20_18_S70_L003_R1_001.fastq.gz	975fcb425debce1c43e4669b7941c151	12M-HR_9_20_18_S70_L003_R2_001.fastq.gz	0528a3564de7dc421a23c7a69dc5b0a8	Shotgun metagenomic library preparation
ERS28440933	PRJEB106128	Illumina HiSeq 2500	13F-HL_10_18_18_S159_L004	METAGENOMIC	RANDOM	WGS	13F-HL_10_18_18_S159_L004_R1_001.fastq.gz	2e3c2543aa251738a44c02594bf49690	13F-HL_10_18_18_S159_L004_R2_001.fastq.gz	ad0fa7a140f46f475cd35a53e39e2fc4	Shotgun metagenomic library preparation
