FileType	fastq	Read submission file type									
sample	study	instrument_model	library_name	library_source	library_selection	library_strategy	forward_file_name	forward_file_md5	reverse_file_name	reverse_file_md5	library_construction_protocol
ERS28403501	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB18_female_keto_9mr_20251229_180953_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB18_female_keto_9mr_20251229_180953_R1.fastq.gz	babeaf444f0cf643eac3f24865ec92dc	V2_SB18_female_keto_9mr_20251229_180953_R2.fastq.gz	e38de5a2fb83ce1fe74822d0cb23bf65	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403502	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB18_male_keto_12mo_20251229_182311_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB18_male_keto_12mo_20251229_182311_R1.fastq.gz	7649585f8abf16745cb5b855b716fe27	V2_SB18_male_keto_12mo_20251229_182311_R2.fastq.gz	70613405698ce3a5a86728d00f3327cb	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403503	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB18_male_keto_9mr_20251229_185142_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB18_male_keto_9mr_20251229_185142_R1.fastq.gz	d3a66d29788b74580f0c8c7097d3a3ee	V2_SB18_male_keto_9mr_20251229_185142_R2.fastq.gz	1731133659b95304044873eca4383011	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403482	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB19_male_coco_12mo_20251229_190536_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB19_male_coco_12mo_20251229_190536_R1.fastq.gz	47b995de37dea5214a6db28963f82171	V2_SB19_male_coco_12mo_20251229_190536_R2.fastq.gz	d93dd2ea5b375d5d1cb6ef0178f95c12	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403483	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB19_male_olive_12mo_20251229_192225_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB19_male_olive_12mo_20251229_192225_R1.fastq.gz	ab7c2c8f72fcf2246b6ed1ea4904edfc	V2_SB19_male_olive_12mo_20251229_192225_R2.fastq.gz	4fb8ab543c65ea6db3e17bb12037f9c1	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403484	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB19_male_palm_12mo_20251229_193517_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB19_male_palm_12mo_20251229_193517_R1.fastq.gz	6d8bed82484728c79ad5304ac02db7a2	V2_SB19_male_palm_12mo_20251229_193517_R2.fastq.gz	37ac99187d3e936a2c475ecd88fd746a	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403485	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB21_coco_20251229_195815_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB21_coco_20251229_195815_R1.fastq.gz	6e0319aa76121c8c746aa1d0ea9952fc	V2_SB21_coco_20251229_195815_R2.fastq.gz	0437eef5c52188d3408d6b474e09d033	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403486	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB21_keto_20251229_200131_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB21_keto_20251229_200131_R1.fastq.gz	46a0da030f8b26605640f313e1597146	V2_SB21_keto_20251229_200131_R2.fastq.gz	8b19b06002b81e12a9c2c100d135eda0	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403487	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB21_olive_20251229_202914_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB21_olive_20251229_202914_R1.fastq.gz	0dfe635fdba96c431423570fe1726ee8	V2_SB21_olive_20251229_202914_R2.fastq.gz	4c215f8bd649ccc8d3152eb7af37081e	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403488	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB21_palm_20251229_204036_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB21_palm_20251229_204036_R1.fastq.gz	b474cb9fe88c9afbb3081de76221cbb3	V2_SB21_palm_20251229_204036_R2.fastq.gz	e90ef6677fd66b102201e7778795fc0a	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
