Checklist	ERC000011	ENA default sample checklist				
tax_id	scientific_name	sample_alias	sample_title	sample_description	collection date	geographic location (country and/or sea)
1861841	feces metagenome	12M-HR_2_27_19_S269_L005	12M-HR_2_27_19_S269_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	12M-HR_9_20_18_S70_L003	12M-HR_9_20_18_S70_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	13F-HL_10_18_18_S159_L004	13F-HL_10_18_18_S159_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	13F-HL_1_9_19_S184_L004	13F-HL_1_9_19_S184_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	13F-HL_2_27_19_S272_L005	13F-HL_2_27_19_S272_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	13F-HL_5_22_19_S331_L006	13F-HL_5_22_19_S331_L006 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	13F-HL_9_20_18_S85_L003	13F-HL_9_20_18_S85_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	13F-HR_10_18_18_S158_L004	13F-HR_10_18_18_S158_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	13F-HR_1_9_19_S185_L004	13F-HR_1_9_19_S185_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	13F-HR_2_27_19_S271_L005	13F-HR_2_27_19_S271_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	13F-HR_5_22_19_S330_L006	13F-HR_5_22_19_S330_L006 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	13F-HR_9_20_18_S86_L003	13F-HR_9_20_18_S86_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	13M-HL_10_18_18_S161_L004	13M-HL_10_18_18_S161_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	13M-HL_1_9_19_S182_L004	13M-HL_1_9_19_S182_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	13M-HL_2_27_19_S274_L005	13M-HL_2_27_19_S274_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	13M-HL_5_22_19_S333_L006	13M-HL_5_22_19_S333_L006 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	13M-HL_9_20_18_S83_L003	13M-HL_9_20_18_S83_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	13M-HR_10_18_18_S160_L004	13M-HR_10_18_18_S160_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	13M-HR_1_9_19_S183_L004	13M-HR_1_9_19_S183_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	13M-HR_2_27_19_S273_L005	13M-HR_2_27_19_S273_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	13M-HR_5_22_19_S332_L006	13M-HR_5_22_19_S332_L006 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	13M-HR_9_20_18_S84_L003	13M-HR_9_20_18_S84_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	14F-HL_10_18_18_S163_L004	14F-HL_10_18_18_S163_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	14F-HL_1_9_19_S180_L004	14F-HL_1_9_19_S180_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	14F-HL_2_27_19_S276_L005	14F-HL_2_27_19_S276_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	14F-HL_5_22_19_S335_L006	14F-HL_5_22_19_S335_L006 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	14F-HL_9_20_18_S81_L003	14F-HL_9_20_18_S81_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	14F-HR_10_18_18_S162_L004	14F-HR_10_18_18_S162_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	14F-HR_1_9_19_S181_L004	14F-HR_1_9_19_S181_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	14F-HR_2_27_19_S275_L005	14F-HR_2_27_19_S275_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	14F-HR_5_22_19_S334_L006	14F-HR_5_22_19_S334_L006 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	14F-HR_9_20_18_S82_L003	14F-HR_9_20_18_S82_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	14M-HL_10_18_18_S165_L004	14M-HL_10_18_18_S165_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	14M-HL_1_9_19_S178_L004	14M-HL_1_9_19_S178_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	14M-HL_2_27_19_S278_L005	14M-HL_2_27_19_S278_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	14M-HL_9_20_18_S79_L003	14M-HL_9_20_18_S79_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	14M-HR_10_18_18_S164_L004	14M-HR_10_18_18_S164_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	14M-HR_1_9_19_S179_L004	14M-HR_1_9_19_S179_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	14M-HR_2_27_19_S277_L005	14M-HR_2_27_19_S277_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	14M-HR_9_20_18_S80_L003	14M-HR_9_20_18_S80_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	15F-HL_10_18_18_S167_L004	15F-HL_10_18_18_S167_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	15F-HL_1_9_19_S176_L004	15F-HL_1_9_19_S176_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	15F-HL_2_27_19_S280_L005	15F-HL_2_27_19_S280_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	15F-HL_5_22_19_S337_L006	15F-HL_5_22_19_S337_L006 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	15F-HL_9_20_18_S94_L003	15F-HL_9_20_18_S94_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	15F-HR_10_18_18_S166_L004	15F-HR_10_18_18_S166_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	15F-HR_1_9_19_S177_L004	15F-HR_1_9_19_S177_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	15F-HR_2_27_19_S279_L005	15F-HR_2_27_19_S279_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	15F-HR_5_22_19_S336_L006	15F-HR_5_22_19_S336_L006 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	15F-HR_9_20_18_S95_L003	15F-HR_9_20_18_S95_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
