"","term","estimate","std.error","statistic","p.value","variable","BH"
"92","DietKetogenic",0.279082445771493,0.0735004854309899,3.79701500112575,0.00034812865224108,"C26.Cer",0.000997968803091096
"93","DietLard",0.150404796806763,0.0735004854309898,2.04631025121568,0.0451902302732014,"C26.Cer",0.0639730008805815
"94","DietMilkFat",0.246484539853997,0.0735004854309898,3.35350900621498,0.00139839130515202,"C26.Cer",0.00334354177664338
"95","DietOliveOil",0.237629492361247,0.0735004854309898,3.23303296526333,0.00200698424704361,"C26.Cer",0.00442565757040387
"96","DietPalmOil",0.264071803371083,0.0735004854309898,3.59278992271449,0.000667942786211377,"C26.Cer",0.00175398716379171
"97","SEXM",0.0127148241715558,0.0289154114401948,0.439724822794019,0.661742969155532,"C26.1.Cer",0.715847740218563
"98","DietCoconutOil",0.198599242252664,0.0660311440101505,3.00766017656963,0.00386539567631761,"C26.1.Cer",0.00759826350087575
"99","DietFishOil",0.260319631544378,0.0660311440101504,3.9423765171229,0.000216541119167479,"C26.1.Cer",0.000653422324505375
"100","DietKetogenic",0.00820372939726516,0.0660311440101505,0.124240303878486,0.901547330940349,"C26.1.Cer",0.917551129714438
"101","DietLard",0.0926037033190659,0.0660311440101505,1.40242463927068,0.166028459462389,"C26.1.Cer",0.206464984954748
"102","DietMilkFat",0.197160362128236,0.0660311440101505,2.98586924524476,0.00411225016666064,"C26.1.Cer",0.00799216981543084
"103","DietOliveOil",0.188649372193436,0.0660311440101505,2.85697567445502,0.0058983405181235,"C26.1.Cer",0.0107356039060026
"104","DietPalmOil",0.202900963610953,0.0660311440101505,3.0728070314784,0.00320727455884044,"C26.1.Cer",0.00664640029060911
"105","SEXM",-0.120013633072545,0.0369220659592812,-3.25045822747025,0.00190567149506305,"dhC16.Cer",0.00425682463832265
"106","DietCoconutOil",0.818999853957876,0.0843151154723167,9.71355906197839,7.55071261369774e-14,"dhC16.Cer",2.16453761592669e-12
"107","DietFishOil",0.611474904189595,0.0843151154723166,7.25225721110898,1.0114655044964e-09,"dhC16.Cer",1.14897412623346e-08
"108","DietKetogenic",0.535622134011569,0.0843151154723167,6.35262290766156,3.33720622280833e-08,"dhC16.Cer",2.86999735161516e-07
"109","DietLard",0.274096026915448,0.0843151154723167,3.25085277272071,0.00190343430141943,"dhC16.Cer",0.00425682463832265
"110","DietMilkFat",0.767591492097793,0.0843151154723167,9.10384203114585,7.67258253159673e-13,"dhC16.Cer",1.6496052442933e-11
"111","DietOliveOil",0.620529386409073,0.0843151154723167,7.35964581122838,6.6515241455254e-10,"dhC16.Cer",8.17187252164549e-09
"112","DietPalmOil",0.648750602865172,0.0843151154723167,7.69435704655089,1.80119266946772e-10,"dhC16.Cer",2.38311645498806e-09
"113","SEXM",0.113081046891959,0.0510390727873132,2.21557800164558,0.0305918440881466,"dhSph",0.0451656410571779
"114","DietCoconutOil",0.562432210490688,0.116552668542659,4.8255627050258,1.02397171446307e-05,"dhSph",4.24393096114813e-05
"115","DietFishOil",0.0728744889988509,0.116552668542659,0.625249425088697,0.534218346773424,"dhSph",0.594728515501805
"116","DietKetogenic",0.353128343204207,0.116552668542659,3.02977484445121,0.00362904154315161,"dhSph",0.00717465684393191
"117","DietLard",0.260773181049623,0.116552668542659,2.2373849034111,0.0290515711728741,"dhSph",0.0432629458158818
"118","DietMilkFat",-0.177296348349123,0.116552668542659,-1.52116936116509,0.133559032312092,"dhSph",0.168912893806469
